Office,State,CensusPop,raceYear,Area,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,raceNotes
House,Alabama,N/A,1940,District 1,N/A,N/A,N/A,"25,993","Boykin, Frank W.",Incumbent,N/A,N/A,N/A,N/A,N/A,"25,993",D,0,0,100,
House,Alabama,N/A,1940,District 2,N/A,N/A,N/A,"33,433","Grant, George",Incumbent,N/A,N/A,N/A,N/A,N/A,"33,433",D,0,0,100,
House,Alabama,N/A,1940,District 3,N/A,N/A,N/A,"22,906","Steagall, Henry B.",Incumbent,N/A,N/A,N/A,N/A,N/A,"22,906",D,0,0,100,
House,Alabama,N/A,1940,District 4,"3,428","McNaron, Thomas G.",Challenger,"24,870","Hobbs, Sam",Incumbent,N/A,N/A,N/A,N/A,N/A,"21,442",D,0,12.11,87.89,
House,Alabama,N/A,1940,District 5,N/A,N/A,N/A,"31,966","Starnes, Joe",Incumbent,N/A,N/A,N/A,N/A,N/A,"31,966",D,0,0,100,
House,Alabama,N/A,1940,District 6,N/A,N/A,N/A,"18,881","Jarman, Pete",Incumbent,N/A,N/A,N/A,N/A,N/A,"18,881",D,0,0,100,
House,Alabama,N/A,1940,District 7,"11,368","Hargett, A. W.",Challenger,"27,696","Bankhead, Walter Will",Challenger,N/A,N/A,N/A,N/A,N/A,"16,328",D,0,29.1,70.9,
House,Alabama,N/A,1940,District 8,N/A,N/A,N/A,"29,020","Sparkman, John J.",Incumbent,N/A,N/A,N/A,N/A,N/A,"29,020",D,0,0,100,
House,Alabama,N/A,1940,District 9,N/A,N/A,N/A,"39,660","Patrick, Luther",Incumbent,N/A,N/A,N/A,N/A,N/A,"39,660",D,0,0,100,
House,Arizona,N/A,1940,At Large,"40,360","Palmer, K. T.",Challenger,"99,424","Murdock, John R.",Incumbent,N/A,N/A,N/A,N/A,N/A,"59,064",D,0,28.87,71.13,
House,Arkansas,N/A,1940,District 1,N/A,N/A,N/A,"33,127","Gathings, Ezekiel C.",Incumbent,N/A,N/A,N/A,N/A,N/A,"33,127",D,0,0,100,
House,Arkansas,N/A,1940,District 2,N/A,N/A,N/A,"25,718","Mills, Wilbur D.",Incumbent,N/A,N/A,N/A,N/A,N/A,"25,718",D,0,0,100,
House,Arkansas,N/A,1940,District 3,"8,566","Williams, Clyde M.",Challenger,"21,060","Ellis, Clyde Taylor",Challenger,N/A,N/A,N/A,N/A,N/A,"12,494",D,0,28.91,71.09,
House,Arkansas,N/A,1940,District 4,N/A,N/A,N/A,"28,999","Cravens, Fadjo",Challenger,N/A,N/A,N/A,N/A,N/A,"28,999",D,0,0,100,
House,Arkansas,N/A,1940,District 5,N/A,N/A,N/A,"36,067","Terry, David D.",Incumbent,N/A,N/A,N/A,N/A,N/A,"36,067",D,0,0,100,
House,Arkansas,N/A,1940,District 6,N/A,N/A,N/A,"27,972","Norrell, William F.",Incumbent,N/A,N/A,N/A,N/A,N/A,"27,972",D,0,0,100,
House,Arkansas,N/A,1940,District 7,N/A,N/A,N/A,"26,994","Harris, Oren",Challenger,N/A,N/A,N/A,N/A,N/A,"26,994",D,0,0,100,
House,California,N/A,1940,District 1,N/A,N/A,N/A,N/A,N/A,N/A,Democrat-Republican,"103,547","Lea, Clarence F.",Incumbent,"5,647","97,900",D-R,94.83,0,0,"The other vote was: Lima, Albert Jason (Communist) 5,647"
House,California,N/A,1940,District 2,"71,033","Englebright, Harry L.",Incumbent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"71,033",R,0,100,0,
House,California,N/A,1940,District 3,N/A,N/A,N/A,N/A,N/A,N/A,Democrat-Republican,"135,461","Buck, Frank H.",Incumbent,"10,539","124,922",D-R,92.78,0,0,"The other vote was: Farman, C. H. (Prohibition) 10,539"
House,California,N/A,1940,District 4,"75,369","Rolph, Thomas",Challenger,N/A,N/A,N/A,Democrat and Progressive,"61,341","Havenner, Franck R.",Challenger,N/A,"14,028",R,44.87,100,0,
House,California,N/A,1940,District 5,N/A,N/A,N/A,N/A,N/A,N/A,Republican-Democrat,"119,122","Welch, Richard J.",Incumbent,N/A,"119,122",R-D,100,0,0,
House,California,N/A,1940,District 6,"131,584","Carter, Albert E.",Incumbent,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"131,584",R,0,100,0,
House,California,N/A,1940,District 7,"56,808","Eltse, Ralph R.",Challenger,"72,838","Tolan, John H.",Incumbent,N/A,N/A,N/A,N/A,N/A,"16,030",D,0,43.82,56.18,
House,California,N/A,1940,District 8,N/A,N/A,N/A,N/A,N/A,N/A,Republican-Democrat,"148,180","Anderson, John Z.",Incumbent,N/A,"148,180",R-D,100,0,0,
House,California,N/A,1940,District 9,N/A,N/A,N/A,N/A,N/A,N/A,Republican-Democrat,"99,708","Gearhart, Bertrand W.",Incumbent,N/A,"99,708",R-D,100,0,0,
House,California,N/A,1940,District 10,N/A,N/A,N/A,N/A,N/A,N/A,Democrat-Republican,"125,845","Elliott, Alfred J.",Incumbent,N/A,"125,845",D-R,100,0,0,
House,California,N/A,1940,District 11,N/A,N/A,N/A,N/A,N/A,N/A,Republican-Democratic-Progressive,"170,504","Hinshaw, Carl",Incumbent,N/A,"170,504",RDP,100,0,0,
House,California,N/A,1940,District 12,"54,731","Minger, Irwin W.",Challenger,"99,494","Voorhis, H. Jerry",Incumbent,N/A,N/A,N/A,N/A,N/A,"44,763",D,0,35.49,64.51,
