Office,State,CensusPop,raceYear,Area,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,raceNotes
House,Alabama,N/A,1960,District 1,N/A,N/A,N/A,"45,225","Boykin, Frank W.",Incumbent,N/A,N/A,N/A,N/A,N/A,"45,225",D,0,0,100,
House,Alabama,N/A,1960,District 2,N/A,N/A,N/A,"44,487","Grant, George",Incumbent,N/A,N/A,N/A,N/A,N/A,"44,487",D,0,0,100,
House,Alabama,N/A,1960,District 3,N/A,N/A,N/A,"33,881","Andrews, George W.",Incumbent,N/A,N/A,N/A,N/A,N/A,"33,881",D,0,0,100,
House,Alabama,N/A,1960,District 4,N/A,N/A,N/A,"34,855","Roberts, Kenneth A.",Incumbent,N/A,N/A,N/A,N/A,N/A,"34,855",D,0,0,100,
House,Alabama,N/A,1960,District 5,N/A,N/A,N/A,"48,772","Rains, Albert",Incumbent,N/A,N/A,N/A,N/A,N/A,"48,772",D,0,0,100,
House,Alabama,N/A,1960,District 6,N/A,N/A,N/A,"23,245","Selden, Armistead I. Jr.",Incumbent,N/A,N/A,N/A,N/A,N/A,"23,245",D,0,0,100,
House,Alabama,N/A,1960,District 7,N/A,N/A,N/A,"36,124","Elliott, Carl Atwood",Incumbent,N/A,N/A,N/A,N/A,N/A,"36,124",D,0,0,100,
House,Alabama,N/A,1960,District 8,"13,800","Williams, H. G.",Challenger,"52,411","Jones, Robert Emmett Jr.",Incumbent,N/A,N/A,N/A,N/A,N/A,"38,611",D,0,20.84,79.16,
House,Alabama,N/A,1960,District 9,"34,317","Ivey, William P.",Challenger,"70,567","Huddleston, George Jr.",Incumbent,N/A,N/A,N/A,N/A,N/A,"36,250",D,0,32.72,67.28,
House,Alaska,N/A,1960,At Large,"25,517","Rettig, R. L.",Challenger,"33,546","Rivers, Ralph J.",Incumbent,N/A,N/A,N/A,N/A,N/A,"8,029",D,0,43.2,56.8,
