State,Year,District,Dem Votes,GOP Votes,D Voteshare,Incumbent,Party
AL,2020,1,"116,949","211,825",0.36,,
AL,2020,2,"105,286","197,996",0.35,,
AL,2020,3,"104,595","217,384",0.33,,
AL,2020,4,"56,237","261,553",0.18,,
AL,2020,5,0,"253,094",0.00,,
AL,2020,6,0,"274,160",0.00,,
AL,2020,7,"225,742",0,0.97,,
AK,2020,1,"159,856","192,126",0.45,,
AZ,2020,1,"188,469","176,709",0.52,,
AZ,2020,2,"209,945","170,975",0.55,,
AZ,2020,3,"174,243","95,594",0.65,,
AZ,2020,4,"120,503","278,007",0.30,,
AZ,2020,5,"183,171","262,486",0.41,,
AZ,2020,6,"199,644","217,783",0.48,,
AZ,2020,7,"165,452","50,229",0.77,,
AZ,2020,8,"170,816","251,633",0.40,,
AZ,2020,9,"217,094","135,180",0.62,,
AR,2020,1,0,"237,596",0.00,,
AR,2020,2,"148,410","184,093",0.45,,
AR,2020,3,"106,325","214,960",0.32,,
AR,2020,4,"75,750","191,617",0.28,,
CA,2020,1,"154,073","204,190",0.43,,
CA,2020,2,"294,435","94,320",0.76,,
CA,2020,3,"176,036","145,941",0.55,,
CA,2020,4,"194,731","247,291",0.44,,
CA,2020,5,"271,233","85,227",0.76,,
CA,2020,6,"229,648","83,466",0.73,,
CA,2020,7,"217,416","166,549",0.57,,
CA,2020,8,"124,400","158,711",0.44,,
CA,2020,9,"174,252","128,358",0.58,,
CA,2020,10,"166,865","135,629",0.55,,
CA,2020,11,"271,063","100,293",0.73,,
CA,2020,12,"362,950",0,1.00,,
CA,2020,13,"327,863","34,955",0.90,,
CA,2020,14,"278,227","72,684",0.79,,
CA,2020,15,"242,991","99,710",0.71,,
CA,2020,16,"128,690","88,039",0.59,,
CA,2020,17,"212,137","85,199",0.71,,
CA,2020,18,"344,127",0,1.00,,
CA,2020,19,"224,385","88,642",0.72,,
CA,2020,20,"236,896","71,658",0.77,,
CA,2020,21,"84,406","85,928",0.50,,
CA,2020,22,"144,251","170,888",0.46,,
CA,2020,23,"115,896","190,222",0.38,,
CA,2020,24,"212,564","149,781",0.59,,
CA,2020,25,"169,305","169,638",0.50,,
CA,2020,26,"208,856","135,877",0.61,,
CA,2020,27,"221,411","95,907",0.70,,
CA,2020,28,"244,271","91,928",0.73,,
CA,2020,29,"210,944",0,1.00,,
CA,2020,30,"240,038","105,426",0.70,,
CA,2020,31,"175,315","110,735",0.61,,
CA,2020,32,"172,942","86,818",0.67,,
CA,2020,33,"257,094","123,334",0.68,,
CA,2020,34,"205,346",0,1.00,,
CA,2020,35,"169,405","74,941",0.69,,
CA,2020,36,"185,051","121,640",0.60,,
CA,2020,37,"254,916","41,705",0.86,,
CA,2020,38,"256,206",0,1.00,,
